,name,twitter,party,title,gender,state,district
376,Tom O’Halleran,repohalleran,Democrat,house of representatives,M,arizona,1.0
377,Andy Biggs,RepAndyBiggsAZ,Republican,house of representatives,M,arizona,5.0
378,Ro Khanna,RepRoKhanna,Democrat,house of representatives,M,california,17.0
379,Jimmy Panetta,RepJimmyPanetta,Democrat,house of representatives,M,california,20.0
380,Salud O. Carbajal,RepCarbajal,Democrat,house of representatives,M,california,24.0
381,Nanette Diaz Barragán,RepBarragan,Democrat,house of representatives,F,california,44.0
382,J. Luis Correa,reploucorrea,Democrat,house of representatives,M,california,46.0
383,Lisa Blunt Rochester,RepLBR,Democrat,house of representatives,F,delaware,0.0
384,Matt Gaetz,RepMattGaetz,Republican,house of representatives,M,florida,1.0
385,Neal P. Dunn,drnealdunnfl2,Republican,house of representatives,M,florida,2.0
386,John H. Rutherford,RepRutherfordFL,Republican,house of representatives,M,florida,4.0
387,"Al Lawson, Jr.",RepAlLawsonJr,Democrat,house of representatives,M,florida,5.0
388,Stephanie N. Murphy,RepStephMurphy,Democrat,house of representatives,F,florida,7.0
389,Darren Soto,RepDarrenSoto,Democrat,house of representatives,M,florida,9.0
390,Val Butler Demings,RepValDemings,Democrat,house of representatives,F,florida,10.0
391,Charlie Crist,repcharliecrist,Democrat,house of representatives,M,florida,13.0
392,Brian J. Mast,repbrianmast,Republican,house of representatives,M,florida,18.0
393,Francis Rooney,RepRooney,Republican,house of representatives,M,florida,19.0
394,A. Drew Ferguson IV,RepDrewFerguson,Republican,house of representatives,M,georgia,3.0
395,Raja Krishnamoorthi,congressmanraja,Democrat,house of representatives,M,illinois,8.0
396,Jim Banks,RepJimBanks,Republican,house of representatives,M,indiana,3.0
397,Trey Hollingsworth,reptrey,Republican,house of representatives,M,indiana,9.0
398,Roger W. Marshall,RepMarshall,Republican,house of representatives,M,kansas,1.0
399,Clay Higgins,RepClayHiggins,Republican,house of representatives,M,louisiana,3.0
400,Mike Johnson,RepMikeJohnson,Republican,house of representatives,M,louisiana,4.0
401,Anthony G. Brown,RepAnthonyBrown,Democrat,house of representatives,M,maryland,4.0
402,Jamie Raskin,repraskin,Democrat,house of representatives,M,maryland,8.0
403,Jack Bergman,RepJackBergman,Republican,house of representatives,M,michigan,1.0
404,Paul Mitchell,RepPaulMitchell,Republican,house of representatives,M,michigan,10.0
405,Ted Budd,RepTedBudd,Republican,house of representatives,M,north carolina,13.0
406,Don Bacon,repdonbacon,Republican,house of representatives,M,nebraska,2.0
407,Josh Gottheimer,RepJoshG,Democrat,house of representatives,M,new jersey,5.0
408,Jacky Rosen,SenJackyRosen,Democrat,senator,F,nevada,
409,Thomas R. Suozzi,RepTomSuozzi,Democrat,house of representatives,M,new york,3.0
410,Adriano Espaillat,RepEspaillat,Democrat,house of representatives,M,new york,13.0
411,Brian K. Fitzpatrick,repbrianfitz,Republican,house of representatives,M,pennsylvania,1.0
412,Lloyd Smucker,RepSmucker,Republican,house of representatives,M,pennsylvania,11.0
413,Jenniffer González-Colón,repjenniffer,Republican,house of representatives,F,PR,0.0
414,David Kustoff,repdavidkustoff,Republican,house of representatives,M,tennessee,8.0
415,Vicente Gonzalez,RepGonzalez,Democrat,house of representatives,M,texas,15.0
416,Jodey C. Arrington,RepArrington,Republican,house of representatives,M,texas,19.0
417,A. Donald McEachin,RepMcEachin,Democrat,house of representatives,M,vermont,4.0
418,Pramila Jayapal,RepJayapal,Democrat,house of representatives,F,washington,7.0
419,Mike Gallagher,RepGallagher,Republican,house of representatives,M,wisconsin,8.0
420,Liz Cheney,RepLizCheney,Republican,house of representatives,F,Wyoming,0.0
421,Ron Estes,RepRonEstes,Republican,house of representatives,M,kansas,4.0
422,Greg Gianforte,,Republican,house of representatives,M,montana,0.0
423,Ralph Norman,RepRalphNorman,Republican,house of representatives,M,south carolina,5.0
424,Jimmy Gomez,RepJimmyGomez,Democrat,house of representatives,M,california,34.0
425,John R. Curtis,RepJohnCurtis,Republican,house of representatives,M,utah,3.0
426,Doug Jones,sendougjones,Democrat,senator,M,alabama,
427,Tina Smith,SenTinaSmith,Democrat,senator,F,minnesota,
428,Cindy Hyde-Smith,SenHydeSmith,Republican,senator,F,mississippi,
429,Conor Lamb,RepConorLamb,Democrat,house of representatives,M,pennsylvania,17.0
430,Debbie Lesko,RepDLesko,Republican,house of representatives,F,arizona,8.0
431,Michael Cloud,RepCloudTX,Republican,house of representatives,M,texas,27.0
432,Troy Balderson,RepBalderson,Republican,house of representatives,M,ohio,12.0
433,Kevin Hern,repkevinhern,Republican,house of representatives,M,oklahoma,1.0
434,Joseph D. Morelle,RepJoeMorelle,Democrat,house of representatives,M,new york,25.0
435,Mary Gay Scanlon,RepMGS,Democrat,house of representatives,F,pennsylvania,5.0
436,Susan Wild,RepSusanWild,Democrat,house of representatives,F,pennsylvania,7.0
437,Ed Case,RepEdCase,Democrat,house of representatives,M,hawaii,1.0
438,Steven Horsford,RepHorsford,Democrat,house of representatives,M,nevada,4.0
439,Ann Kirkpatrick,RepKirkpatrick,Democrat,house of representatives,F,arizona,2.0
440,Greg Stanton,RepGregStanton,Democrat,house of representatives,M,arizona,9.0
441,Josh Harder,RepJoshHarder,Democrat,house of representatives,M,california,10.0
442,TJ Cox,RepTjCox,Democrat,house of representatives,M,california,21.0
443,"Gilbert Ray Cisneros, Jr.",RepGilCisneros,Democrat,house of representatives,M,california,39.0
444,Katie Porter,RepKatiePorter,Democrat,house of representatives,F,california,45.0
445,Harley Rouda,RepHarley,Democrat,house of representatives,M,california,48.0
446,Mike Levin,RepMikeLevin,Democrat,house of representatives,M,california,49.0
447,Joe Neguse,RepJoeNeguse,Democrat,house of representatives,M,colorado,2.0
448,Jason Crow,RepJasonCrow,Democrat,house of representatives,M,colorado,6.0
449,Jahana Hayes,RepJahanaHayes,Democrat,house of representatives,F,connecticut,5.0
450,Michael Waltz,RepMichaelWaltz,Republican,house of representatives,M,florida,6.0
451,Ross Spano,RepRossSpano,Republican,house of representatives,M,florida,15.0
452,W. Gregory Steube,RepGregSteube,Republican,house of representatives,M,florida,17.0
453,Debbie Mucarsel-Powell,RepDMP,Democrat,house of representatives,F,florida,26.0
454,Donna E. Shalala,RepShalala,Democrat,house of representatives,F,florida,27.0
455,Lucy McBath,replucymcbath,Democrat,house of representatives,F,georgia,6.0
456,Michael F. Q. San Nicolas,GuamCongressman,Democrat,house of representatives,M,GU,0.0
457,Abby Finkenauer,RepFinkenauer,Democrat,house of representatives,F,iowa,1.0
458,Cynthia Axne,RepCindyAxne,Democrat,house of representatives,F,iowa,3.0
459,Russ Fulcher,RepRussFulcher,Republican,house of representatives,M,idaho,1.0
460,"Jesús G. ""Chuy"" García",RepChuyGarcia,Democrat,house of representatives,M,illinois,4.0
461,Sean Casten,RepCasten,Democrat,house of representatives,M,illinois,6.0
462,Lauren Underwood,RepUnderwood,Democrat,house of representatives,F,illinois,14.0
463,James R. Baird,RepJimBaird,Republican,house of representatives,M,indiana,4.0
464,Greg Pence,RepGregPence,Republican,house of representatives,M,indiana,6.0
465,Steve Watkins,Rep_Watkins,Republican,house of representatives,M,kansas,2.0
466,Sharice Davids,RepDavids,Democrat,house of representatives,F,kansas,3.0
467,Lori Trahan,RepLoriTrahan,Democrat,house of representatives,F,massachusetts,3.0
468,Ayanna Pressley,RepPressley,Democrat,house of representatives,F,massachusetts,7.0
469,David J. Trone,repdavidtrone,Democrat,house of representatives,M,maryland,6.0
470,Elissa Slotkin,RepSlotkin,Democrat,house of representatives,F,michigan,8.0
471,Andy Levin,RepAndyLevin,Democrat,house of representatives,M,michigan,9.0
472,Haley M. Stevens,RepHaleyStevens,Democrat,house of representatives,F,michigan,11.0
473,Rashida Tlaib,RepRashida,Democrat,house of representatives,F,michigan,13.0
474,Jim Hagedorn,RepHagedorn,Republican,house of representatives,M,minnesota,1.0
475,Angie Craig,RepAngieCraig,Democrat,house of representatives,F,minnesota,2.0
476,Dean Phillips,RepDeanPhillips,Democrat,house of representatives,M,minnesota,3.0
477,Ilhan Omar,Ilhan,Democrat,house of representatives,F,minnesota,5.0
478,Pete Stauber,RepPeteStauber,Republican,house of representatives,M,minnesota,8.0
479,Michael Guest,RepMichaelGuest,Republican,house of representatives,M,mississippi,3.0
480,Kelly Armstrong,RepArmstrongND,Republican,house of representatives,M,north dakota,0.0
481,Chris Pappas,RepChrisPappas,Democrat,house of representatives,M,new hampshire,1.0
482,Jefferson Van Drew,CongressmanJVD,Republican,house of representatives,M,new jersey,2.0
