phrase,total_occurrences,bias_score,p_dem,p_rep,n_dem,n_rep
ohio,356,0.769712446129265,0.0017281644091546007,0.013280587736648771,74,282
kids,356,-0.21050607134296873,0.00628211116300794,0.004097202599604408,269,87
thing,355,-0.22544401175245424,0.006258757589911256,0.003955919751342187,268,84
quality,354,-0.5210503982996616,0.007029425502101822,0.0022134312894414618,301,47
curve,353,0.2533751150811381,0.004460532461466604,0.007487990957897712,191,159
health experts,353,-0.6722851042072735,0.00744978981784213,0.0014599227653762834,319,31
major,353,0.11099645192048575,0.004974311069593648,0.006216445323537723,213,132
early,353,0.15382965924638364,0.004904250350303597,0.0066873881510784595,210,142
policy,352,-0.026179111860340148,0.005558150397010742,0.005274559668456249,238,112
middle pandemic,352,-0.7996215802223412,0.007613264829518916,0.0008476970895733258,326,18
self,352,-0.11897573129133511,0.005861746847267632,0.0046152397098992185,251,98
non,352,0.05233480702804336,0.005301261092947221,0.005886785344259207,227,125
unemployment insurance,350,-0.39457929961259863,0.006725829051844932,0.002919845530752567,288,62
student,350,-0.4521682979184676,0.006865950490425035,0.002590185551474051,294,55
current,348,0.1539292940161717,0.004834189631013545,0.006593199585570312,207,140
illinois,348,-0.48557403856958015,0.006936011209715086,0.0024018084204577564,297,51
spread virus,348,0.010578523799409196,0.005394675385333956,0.005510031082226617,231,117
worked,348,0.219931129776063,0.004577300326950024,0.007158330978619195,196,152
created,347,0.13376269886005926,0.0048575432041102285,0.006357728171799943,208,135
que,347,-0.15579291956734456,0.0059318075665576835,0.004332674013374776,254,92
urgent,347,-0.4892528396444761,0.006865950490425035,0.0023547141377036826,294,50
12,347,-0.13231090823770314,0.005838393274170948,0.004473956861636997,250,95
federal response,347,0.09270088673716091,0.0050443717888836994,0.0060751624752755015,216,129
honor,346,-0.14858599030067152,0.005908453993460999,0.00437976829612885,253,93
begin,346,0.14453924875012497,0.0048575432041102285,0.0064990110200621645,208,138
mitigate,346,0.07020612139906383,0.005114432508173751,0.005886785344259207,219,125
south,346,0.17373963485078536,0.00474077533862681,0.006734482433832532,203,143
continued,345,0.13503132995355616,0.0048808967772069126,0.006404822454554017,209,136
partisan,344,0.5157630466385227,0.003129378794955628,0.00979561081284732,134,208
suffering,344,0.019443250071576865,0.005254553946753854,0.005462936799472544,225,116
covid 19 response,343,-0.0312756067369743,0.005464736104624008,0.005133276820194028,234,109
19 response,343,-0.0312756067369743,0.005464736104624008,0.005133276820194028,234,109
ventilators,342,-0.3018770570460651,0.006235404016814572,0.0033436940755392297,267,71
gov media,341,-0.23601147856177646,0.0060952825782344695,0.0037675426203258922,261,80
york,340,-0.24194166089439664,0.0060952825782344695,0.003720448337571819,261,79
good news,339,0.40575234622145057,0.0036431574030826716,0.00861825374399548,156,183
released,339,0.3448181244152642,0.003923400280242877,0.008053122350946596,168,171
tools,339,-0.007109092154703167,0.005254553946753854,0.005180371102948102,225,110
past,339,-0.018296025169286564,0.005324614666043905,0.005133276820194028,228,109
sen,338,0.6632178137541744,0.002288650163475012,0.011302627860977677,98,240
grant,338,0.18731879077207628,0.004577300326950024,0.0066873881510784595,196,142
prevention,338,0.012976276149898297,0.0052312003736571695,0.005368748233964397,224,114
ed,337,0.2831529607939603,0.004156936011209715,0.007440896675143638,178,158
responding,336,-0.10289498115100017,0.005558150397010742,0.004521051144391071,238,96
phone,336,-0.07635793394945424,0.005488089677720691,0.004709428275407365,235,100
protective equipment,335,-0.2608636813062378,0.006025221858944418,0.0035320712065555243,258,75
create,335,0.010868463203139278,0.005161139654367118,0.005274559668456249,221,112
dollars,335,0.048366147597378346,0.0050443717888836994,0.005557125364980691,216,118
fight covid,334,0.26613417303482967,0.004203643157403083,0.007252519544127343,180,154
term,334,-0.1710563487284535,0.005721625408687529,0.004050108316850334,245,86
communities color,333,-0.9759238491928839,0.007730032695002336,9.418856550814731e-05,331,2
deadline,332,-0.03955809941512269,0.005301261092947221,0.00489780540642366,227,104
got,332,-0.09423238902091953,0.005347968239140588,0.0044268625788829235,229,94
receiving,332,0.24439093534822756,0.004203643157403083,0.006922859564848827,180,147
teachers,332,-0.2115573335042783,0.005861746847267632,0.003814636903079966,251,81
deadly,331,-0.2772069684568843,0.005908453993460999,0.0033436940755392297,253,71
